,Epoch,Train,Val,F1-Score
0,0,1.55532,1.27729,0.29
1,1,1.25698,1.19465,0.33
2,2,1.20422,1.14948,0.31
3,3,1.15308,1.15292,0.37
4,4,1.16738,1.14552,0.36
5,5,1.1521,1.14317,0.31
6,6,1.15815,1.14852,0.38
7,7,1.17564,1.14404,0.38
8,8,1.18253,1.15324,0.37
9,9,1.18331,1.14727,0.36
10,10,1.14501,1.14787,0.37
11,11,1.18208,1.14548,0.35
12,12,1.15135,1.14753,0.36
13,13,1.14841,1.14088,0.31
14,14,1.15578,1.1543,0.43
15,15,1.13516,1.14901,0.35
16,16,1.15722,1.14776,0.4
17,17,1.16653,1.1411,0.33
18,18,1.14655,1.15587,0.43
19,19,1.15018,1.15976,0.43
20,20,1.15867,1.13749,0.33
21,21,1.15123,1.15045,0.37
22,22,1.14746,1.16091,0.42
23,23,1.15236,1.13805,0.31
24,24,1.14837,1.15227,0.44
25,25,1.15455,1.15117,0.41
26,26,1.16033,1.15525,0.42
27,27,1.15353,1.14339,0.41
28,28,1.13532,1.14341,0.39
29,29,1.13726,1.14377,0.37
30,30,1.15388,1.15343,0.37
31,31,1.15927,1.14978,0.42
32,32,1.14371,1.14994,0.42
33,33,1.15611,1.14684,0.43
34,34,1.15153,1.15019,0.42
35,35,1.13165,1.15346,0.42
36,36,1.13848,1.14459,0.35
37,37,1.14469,1.15184,0.41
38,38,1.14458,1.14394,0.35
39,39,1.15458,1.1652,0.45
40,40,1.14332,1.14197,0.37
41,41,1.14439,1.15055,0.43
42,42,1.13721,1.14259,0.4
43,43,1.17,1.15359,0.44
44,44,1.14266,1.14825,0.41
45,45,1.15169,1.14922,0.41
46,46,1.13527,1.16062,0.44
47,47,1.15043,1.1464,0.44
48,48,1.14706,1.14563,0.41
49,49,1.13358,1.14055,0.35
50,50,1.15216,1.15916,0.46
51,51,1.13784,1.14869,0.46
52,52,1.12814,1.14943,0.4
53,53,1.12933,1.15254,0.4
54,54,1.12949,1.15565,0.45
55,55,1.14338,1.13724,0.35
56,56,1.12943,1.15171,0.44
57,57,1.14001,1.15268,0.45
58,58,1.13266,1.1625,0.44
59,59,1.15313,1.14571,0.42
60,60,1.13527,1.15598,0.43
61,61,1.14377,1.14806,0.44
62,62,1.13707,1.15075,0.35
63,63,1.1352,1.15612,0.43
64,64,1.14774,1.15267,0.43
65,65,1.13121,1.15283,0.43
66,66,1.13606,1.15674,0.44
67,67,1.13241,1.15214,0.35
68,68,1.13679,1.15238,0.45
69,69,1.13821,1.14382,0.44
70,70,1.13833,1.14997,0.44
71,71,1.1238,1.15822,0.45
72,72,1.13093,1.15255,0.45
73,73,1.12007,1.14182,0.42
74,74,1.13046,1.14913,0.45
75,75,1.14299,1.14495,0.43
76,76,1.12988,1.15701,0.43
77,77,1.12492,1.1495,0.43
78,78,1.12764,1.14106,0.43
79,79,1.13775,1.14862,0.44
80,80,1.13851,1.15527,0.45
81,81,1.12625,1.15491,0.45
82,82,1.13075,1.14282,0.43
83,83,1.13515,1.15152,0.43
84,84,1.13556,1.15813,0.43
85,85,1.12823,1.14242,0.42
86,86,1.13249,1.14493,0.41
87,87,1.12877,1.15337,0.43
88,88,1.12673,1.14678,0.45
89,89,1.12834,1.15275,0.43
90,90,1.13493,1.14648,0.43
91,91,1.13895,1.15559,0.43
92,92,1.12674,1.15764,0.46
93,93,1.13221,1.14723,0.43
94,94,1.13101,1.14915,0.42
95,95,1.12271,1.15477,0.44
96,96,1.11564,1.14512,0.44
97,97,1.14002,1.14941,0.43
98,98,1.12037,1.15323,0.44
99,99,1.13815,1.14719,0.45
100,100,1.1248,1.15755,0.45
101,101,1.14451,1.14858,0.45
102,102,1.12136,1.15047,0.45
103,103,1.12874,1.15011,0.44
104,104,1.13075,1.15808,0.45
105,105,1.11719,1.15469,0.42
106,106,1.12516,1.14369,0.44
107,107,1.12662,1.15322,0.45
108,108,1.136,1.14411,0.44
109,109,1.12188,1.15749,0.43
110,110,1.12953,1.1515,0.46
111,111,1.13247,1.14873,0.45
112,112,1.13725,1.15272,0.43
113,113,1.12469,1.15712,0.45
114,114,1.14208,1.15652,0.42
115,115,1.14017,1.14998,0.43
116,116,1.13178,1.15375,0.43
117,117,1.13153,1.1537,0.43
118,118,1.12218,1.15761,0.46
119,119,1.12747,1.15017,0.44
120,120,1.13103,1.1457,0.46
121,121,1.12973,1.15065,0.42
122,122,1.12545,1.15854,0.45
123,123,1.12107,1.15003,0.44
124,124,1.11661,1.14837,0.45
125,125,1.1241,1.14321,0.42
126,126,1.12569,1.15624,0.46
127,127,1.12196,1.15209,0.43
128,128,1.12011,1.15421,0.45
129,129,1.12553,1.15118,0.46
130,130,1.13096,1.13931,0.41
131,131,1.12796,1.16038,0.46
132,132,1.10908,1.15784,0.44
133,133,1.12462,1.14221,0.42
134,134,1.13623,1.15128,0.45
135,135,1.12637,1.14897,0.46
136,136,1.1224,1.15694,0.46
137,137,1.12239,1.15181,0.42
138,138,1.13191,1.14608,0.46
139,139,1.11971,1.15203,0.44
140,140,1.11832,1.14797,0.47
141,141,1.12089,1.1456,0.44
142,142,1.12984,1.15973,0.45
143,143,1.12989,1.1554,0.45
144,144,1.12223,1.15197,0.46
145,145,1.12545,1.15229,0.43
146,146,1.13628,1.15556,0.46
147,147,1.12483,1.14898,0.42
148,148,1.11676,1.15303,0.46
149,149,1.13173,1.14853,0.43
150,150,1.11535,1.1534,0.44
151,151,1.12791,1.14631,0.44
152,152,1.13288,1.15575,0.45
153,153,1.11896,1.14602,0.44
154,154,1.13129,1.15363,0.44
155,155,1.13415,1.15611,0.44
156,156,1.13183,1.14736,0.43
157,157,1.11534,1.15897,0.43
158,158,1.12808,1.14284,0.44
159,159,1.13821,1.16003,0.45
160,160,1.12104,1.15146,0.43
161,161,1.12427,1.14974,0.46
162,162,1.11701,1.15212,0.44
163,163,1.11692,1.15464,0.44
164,164,1.12262,1.14505,0.45
165,165,1.11626,1.15249,0.43
166,166,1.11027,1.14589,0.43
167,167,1.11253,1.14553,0.43
168,168,1.11657,1.14846,0.44
169,169,1.12247,1.15493,0.42
170,170,1.12304,1.15683,0.43
171,171,1.11986,1.15013,0.44
172,172,1.11807,1.14981,0.42
173,173,1.1218,1.15274,0.44
174,174,1.11707,1.14971,0.44
175,175,1.12117,1.14737,0.41
176,176,1.13256,1.14925,0.42
177,177,1.1266,1.15728,0.43
178,178,1.11579,1.14432,0.42
179,179,1.12988,1.15173,0.45
180,180,1.13078,1.14554,0.45
181,181,1.1194,1.15271,0.45
182,182,1.11797,1.14465,0.44
183,183,1.11433,1.15541,0.43
184,184,1.12552,1.14644,0.42
185,185,1.11858,1.15295,0.42
186,186,1.13238,1.14331,0.42
187,187,1.12308,1.15963,0.43
188,188,1.11509,1.15469,0.44
189,189,1.10446,1.14166,0.44
190,190,1.11077,1.1442,0.44
191,191,1.13686,1.14054,0.42
192,192,1.10663,1.15991,0.43
193,193,1.11473,1.14842,0.42
194,194,1.11768,1.14155,0.41
195,195,1.11975,1.16246,0.46
196,196,1.10145,1.15207,0.44
197,197,1.12074,1.14382,0.44
198,198,1.11512,1.15205,0.44
